State,Project ID,Project title,Subgrantee,Community,Rich/white,FEMA $,FEMA share,Elevated homes,Multi-purpose,Multi-community,Multi-elevation
Connecticut,DR-4046-0063-R,Fairfield Residential Elevation Oyster Road,Fairfield (Town of),Fairfield,x,"$135,525",75%,1,,,
Connecticut,DR-4046-0064-R,Fairfield Residential Elevation Pilgrim Lane,Fairfield (Town of),Fairfield,x,"$138,864",75%,1,,,
Connecticut,DR-4046-0067-R,Fairfield Residential Elevation Rowland Road,Fairfield (Town of),Fairfield,x,"$133,549",75%,1,,,
Connecticut,DR-4046-0068-R,Fairfield Residential Elevation Fairfield Beach Road,Fairfield (Town of),Fairfield,x,"$117,750",75%,1,,,
Connecticut,DR-4046-0069-R,Fairfield Residential Elevation Rowland,Fairfield (Town of),Fairfield,x,"$124,425",75%,1,,,
Connecticut,DR-4046-0070-R,Fairfield Residential Elevation Reef Road,Fairfield (Town of),Fairfield,x,"$100,000",40%,1,,,
Connecticut,DR-4087-0002-R,Greenwich Elevation Willowmere Circle,Greenwich (Town of),Old Greenwich,x,"$100,000",40%,1,,,
Connecticut,DR-4087-0006-R,Westport 5 Elevations Spriteview et al,Westport (Town of),Westport,x,"$300,000",36%,4,,,
Connecticut,DR-4087-0007-R,Westport 3 Elevations Marine Ave et al,Westport (Town of),Westport,x,"$100,000",60%,3,,,
Connecticut,DR-4087-0008-R,Westport 3 Elevations Old Mill et al,Westport (Town of),Westport,x,"$297,442",68%,0,,,
Connecticut,DR-4087-0009-R,Westport 2 Elevations Marsh Road Promised Road,Westport (Town of),Westport,x,"$189,977",66%,1,,,
Connecticut,DR-4087-0011-R,Milford Elevation Sperry St,Milford,Milford,,"$65,775",52%,1,,,
Connecticut,DR-4087-0012-R,Milford Elevation Coolridge Rd,Milford,Milford,,"$100,000",61%,1,,,
Connecticut,DR-4087-0013-R,Milford Elevation Hillside Ave,Milford,Milford,,"$100,000",58%,0,,,
Connecticut,DR-4087-0014-R,Milford Elevation Melba St,Milford,Milford,,"$100,000",72%,0,,,
Connecticut,DR-4087-0015-R,Milford Elevation Deerfield Ave,Milford,Milford,,"$87,225",75%,0,,,
Connecticut,DR-4087-0017-R,Milford Elevation Field Court,Milford,Milford,,"$100,000",56%,1,,,
Connecticut,DR-4087-0026-R,Milford Elevation James St,Milford,Milford,,"$80,040",65%,1,,,
Connecticut,DR-4087-0027-R,Westport Elevation Marine Ave Island Way,Westport (Town of),Westport,x,"$100,000",75%,1,,,
Connecticut,DR-4087-0028-R,Westport Elevation Harbor Road,Westport (Town of),Westport,x,"$100,000",24%,0,,,
Connecticut,DR-4087-0029-R,Fairfield Elevation Birch Rd,Fairfield (Town of),Fairfield,x,"$100,000",38%,1,,,
Connecticut,DR-4087-0030-R,Fairfield Elevation Carlynn Drive,Fairfield (Town of),Fairfield,x,"$100,000",37%,0,,,
Connecticut,DR-4087-0031-R,Fairfield Elevation Clinton St,Fairfield (Town of),Fairfield,x,"$100,000",60%,1,,,
Connecticut,DR-4087-0032-R,Fairfield Elevation East Paulding St,Fairfield (Town of),Fairfield,x,"$100,000",59%,1,,,
Connecticut,DR-4087-0036-R,Fairfield Elevation Quincy St,Fairfield (Town of),Fairfield,x,"$89,649",75%,1,,,
Connecticut,DR-4087-0037-R,Fairfield Elevation Rowland Rd,Fairfield (Town of),Fairfield,x,"$100,000",67%,1,,,
Connecticut,DR-4087-0041-R,Westport Elevation Fairfield Avenue,Westport (Town of),Westport,x,"$100,000",57%,1,,,
Connecticut,DR-4087-0044-R,Greenwich Elevation Keofferham Rd,Greenwich (Town of),Old Greenwich,x,"$100,000",72%,1,,,
Connecticut,DR-4087-0046-R,Milford Elevation E Broadway,Milford,Milford,,"$69,863",75%,1,,,
Connecticut,DR-4087-0052-R,Milford Elevation Field Court,Milford,Milford,,"$100,000",46%,1,,,
Connecticut,DR-4087-0060-R,Greenwich Elevation Oak Lane,Greenwich (Town of),Old Greenwich,x,"$100,000",28%,1,,,
Connecticut,DR-4087-0064-R,East Haven Elevation Second Ave,East Haven (Town of),East Haven,,"$80,228",75%,1,,,
Connecticut,DR-4087-0065-R,Westport Old Mill Rd Elevation,Westport (Town of),Westport,x,"$100,000",42%,0,,,
Connecticut,DR-4087-0066-R,Fairfield Elevation Penfield Rd,Fairfield (Town of),Fairfield,x,"$100,000",38%,1,,,
Connecticut,DR-4087-0067-R,Greenwich Elevation Edgewater Drive,Greenwich (Town of),Old Greenwich,x,"$100,000",43%,1,,,
Connecticut,DR-4087-0068-R,Fairfield Elevation Fairfield Beach Rd,Fairfield (Town of),Fairfield,x,"$100,000",49%,1,,,
Connecticut,DR-4087-0070-R,Greenwich Elevation Mortimer Dr,Greenwich (Town of),Old Greenwich,x,"$100,000",69%,0,,,
Connecticut,FMA-PJ-01CT-1997001,Town of Westport Elevations (Phase I),"Westport, Town Of",Westport,x,"$188,600",75%,4,,,
Connecticut,FMA-PJ-01CT-1998001,Town of Westport Elevations (Phase II),"Westport, Town Of",Westport,x,"$118,125",75%,3,,,
Connecticut,FMA-PJ-01CT-2000001,Westport and Essex Elevations,"Westport, Town Of",Essex,x,"$110,124",75%,2,,x,
Connecticut,FMA-PJ-01CT-2000001,Westport and Essex Elevations,"Westport, Town Of",Westport,x,"$110,124",75%,2,,x,
Connecticut,FMA-PJ-01CT-2001001,Connecticut Elevations,"Greenwich, Town Of",Old Greenwich,x,"$135,484",75%,0,,,
Connecticut,FMA-PJ-01CT-2002001,Structure Elevation,"Westport, Town Of",Westport,x,"$111,525",75%,1,,,
Connecticut,FMA-PJ-01CT-2003001,Elevation and Acquisition projects,,Fairfield,x,"$70,937",75%,1,,x,
Connecticut,FMA-PJ-01CT-2003001,Elevation and Acquisition projects,,Milford,,"$70,937",75%,1,,x,
Connecticut,FMA-PJ-01CT-2003001,Elevation and Acquisition projects,,Old Greenwich,x,"$70,937",75%,1,,x,
Connecticut,FMA-PJ-01CT-2003001,Elevation and Acquisition projects,,Westport,x,"$212,811",75%,3,,x,
Connecticut,FMA-PJ-01-CT-2004-001,FY2004 FMA Project (Milford home elevations),"City of Milford, Connecticut",Milford,,"$133,050",75%,2,,,
Connecticut,FMA-PJ-01-CT-2008-001,City of Milford FMA 2008 Project application Morehouse Ave,City of Milford,Milford,,"$75,000",75%,1,,,
Connecticut,FMA-PJ-01-CT-2008-002,City of Milford FMA 2008 Project Application - James St,City of Milford,Milford,,"$64,125",75%,1,,,
Connecticut,FMA-PJ-01-CT-2014-002,"Home Elevation Project Marine Ave, Westport",Town of Westport,Westport,x,"$261,325",100%,1,,,
Connecticut,FMA-PJ-01-CT-2014-004,Branford - Elevate SRL Properties,Town of Branford,Branford,,"$684,557",100%,3,,,
Connecticut,FMA-PJ-01-CT-2015-002,"Home Elevation Project Kings Hwy N. Westport, CT",Westport,Westport,x,"$107,772",100%,1,,,
Connecticut,FMA-PJ-01-CT-2015-003,Home Elevation Project - Compo Road South,Town of Westport,Westport,x,"$202,840",90%,1,,,
Connecticut,FMA-PJ-01-CT-2019-005,,"Town of Stratford, Connecticut",Stratford,,"$278,750",100%,1,,,
Connecticut,PDMC-PJ-01-CT-2003-001,Elevation of Homes in the Cosey Beach Area of East Haven,City of East Haven,East Haven,,"$641,025",75%,8,,,
Connecticut,PDMC-PJ-01-CT-2003-002,"Home Elevation Project in Milford, Connecticut",City of Milford,Milford,,"$64,575",75%,1,,,
Connecticut,PDMC-PJ-01-CT-2003-003,Stratford Home Elevation Project,Town of Stratford,Stratford,,"$56,700",75%,1,,,
Connecticut,PDMC-PJ-01-CT-2003-006,Town of East Haven Elevation Non-RLP Home Elevation,City of East Haven,East Haven,,"$75,206",75%,1,,,
Connecticut,PDMC-PJ-01-CT-2009-004,CIty of Norwalk CT PDM,City of Norwalk,Norwalk,,"$150,000",61%,2,,,
Connecticut,SRL-PJ-01-CT-2008-001,2008 SRL Elevation project,Town of Westport,Westport,x,"$243,900",90%,1,,,
Connecticut,SRL-PJ-01-CT-2008-002,2008 SRL Elevation Projects,East Haven Fire Department,East Haven,,"$1,126,467",90%,13,,,
Connecticut,SRL-PJ-01-CT-2008-003,2008 SRL Elevation Project - City of Milford,City of Milford,Milford,,"$365,400",90%,3,,,
Connecticut,SRL-PJ-01-CT-2008-006,Mansfield SRL at Thornbush Road,Town of Mansfield,Mansfield,,"$152,145",90%,1,,,
Connecticut,SRL-PJ-01-CT-2010-001,Westport Connecticut,State of Connecticut DEMHS,Westport,x,"$150,000",24%,1,,,
Connecticut,FMA-PJ-01-CT-2014-005,Elevation Project - Westport,Town of Westport,,,"$30,000",67%,1,,,
Florida,DR-1069-0052-R,Elevation structure,FRANKLIN COUNTY,Apalachicola,,"$9,639",75%,1,,,
Florida,DR-1141-0026-R,Citrus County Elevation Residential Structures Project,CITRUS COUNTY,Crystal River,,"$57,534",75%,2,,x,
Florida,DR-1141-0026-R,Citrus County Elevation Residential Structures Project,CITRUS COUNTY,Homosassa,x,"$28,767",75%,1,,x,
Florida,DR-1195-0042-R,ONE STRUCUTRE ELEVATION,Pasco County,New Port Richey,,"$35,877",75%,1,,,
Florida,DR-1195-0045-R,HERNANDO COUNTY ACQUISITION AND ELEVATION PROJECT,HERNANDO COUNTY,Brooksville,,"$379,241",75%,15,x,,
Florida,DR-1195-0053-R,ELEVATION OF STRUCTURE,Citrus,Homosassa,x,"$85,301",75%,1,,,
Florida,DR-1545-0094-R,"MARTIN COUNTY, CITY OF STUART, STRUCTURES ALONG ST. LUCIE RIVER- ELEVATION",MARTIN COUNTY COMMISSIONERS,Stuart,,"$1,089,866",75%,17,,,x
Florida,DR-1551-0022-R,"OKALOOSA COUNTY B0CC, RESIDENCE - ELEVATION",Okaloosa (County),Mary Esther,,"$192,124",75%,1,,,
Florida,DR-4280-0007-R,"City of Crystal River, Property - Mitigation Reconstruction",Crystal River,Crystal River,,"$159,320",39%,1,,,
Florida,DR-4280-0008-R,"Taylor County, Residental Elevations",Taylor (County),Perry,,"$70,691",75%,4,,x,
Florida,DR-4280-0008-R,"Taylor County, Residental Elevations",Taylor (County),Steinhatchee,x,"$35,345",75%,2,,x,
Florida,DR-4283-0091-R,"Indian River County, 1920s Bungalow, Elevetion",Indian River County,Vero Beach,,"$59,236",75%,1,,,
Florida,DR-4337-0035-R,"Hernando County, Westwind Street - Elevation",Hernando (County),Weeki Wachee,,"$110,865",75%,1,,,
Florida,DR-4337-0074-R,"Hernando County, Gulfview Drive, Elevation and Wind Retrofit",Hernando (County),Hernando Beach,,"$246,348",75%,1,,,
Florida,DR-4337-0197-R,"City of New Smyrna Beach, Elevation of Flood-Prone Homes (a)",New Smyrna Beach,New Smyrna Beach,x,"$1,287,888",75%,9,,,
Florida,DR-4337-0373-R,,New Smyrna Beach,New Smyrna Beach,x,"$2,506,147",67%,17,,,
Florida,DR-4337-0374-R,,New Smyrna Beach,New Smyrna Beach,x,"$605,415",75%,3,,,
Florida,DR-4399-0148-R,,Lynn Haven,Lynn Haven,,"$144,561",75%,1,,,
Florida,FMA-PJ-04FL-1996001,"Town of Redington Beach, FL, Project #1","Redington Beach, Town Of",Redington Beach,x,"$96,500",75%,1,,,
Florida,FMA-PJ-04FL-1996002,City of Dunedin #2,"Dunedin, City Of",Dunedin,,"$78,813",75%,1,,,
Florida,FMA-PJ-04FL-1996003,City of Dunedin #3,"Dunedin, City Of",Dunedin,,"$59,625",75%,1,,,
Florida,FMA-PJ-04FL-1996004,Town of Indian Shores #1,"Indian Shores, Town Of",Indian Shores,,"$16,875",75%,1,,,
Florida,FMA-PJ-04FL-1996005,City of St. Petersburg #1,"St. Petersburg, City Of",St. Petersburg,,"$84,121",75%,1,,,
Florida,FMA-PJ-04FL-1996006,Citrus County #1,Citrus County *,Crystal River,,"$46,164",75%,1,,,
Florida,FMA-PJ-04FL-1996007,City of Port Richey #1,"Port Richey, City Of",Port Richey,x,"$84,128",75%,1,,,
Florida,FMA-PJ-04FL-1996008,City of Port Richey #2,"Port Richey, City Of",Port Richey,x,"$66,645",75%,1,,,
Florida,FMA-PJ-04FL-1996009,City of Clearwater #1,"Clearwater, City Of",Clearwater,,"$56,540",75%,1,,,
Florida,FMA-PJ-04FL-1996011,City of Madeira Beach #2,"Madeira Beach, City Of",Madeira Beach,x,"$65,783",75%,1,,,
Florida,FMA-PJ-04FL-1996012,Town of Redington Shores,"Redington Shores, Town Of",Redington Shores,x,"$45,015",75%,1,,,
Florida,FMA-PJ-04FL-1997001,Homosassa-Citrus County #2,Citrus County *,Homosassa,x,"$29,451",75%,1,,,
Florida,FMA-PJ-04FL-1997002,Citrus County # 3,Citrus County *,Crystal River,,"$56,227",75%,1,,,
Florida,FMA-PJ-04FL-1997003,City of Dunedin #4,"Dunedin, City Of",Dunedin,,"$67,200",75%,1,,,
Florida,FMA-PJ-04FL-1997004,City of Dunedin #5,"Dunedin, City Of",Dunedin,,"$46,287",75%,1,,,
Florida,FMA-PJ-04FL-1997005,City of Dunedin # 6,"Dunedin, City Of",Dunedin,,"$37,936",75%,1,,,
Florida,FMA-PJ-04FL-1997006,Town of Redington Shores # 2,"Redington Shores, Town Of",Redington Shores,x,"$32,603",75%,1,,,
Florida,FMA-PJ-04FL-1997007,Lee County #1,Lee County*,Tice,,"$39,750",75%,1,,,
Florida,FMA-PJ-04FL-1997008,Lee County # 2,Lee County*,Fort Myers,,"$55,182",75%,1,,,
Florida,FMA-PJ-04FL-1997010,Citrus County,Citrus County *,Crystal River,,"$55,500",75%,1,,,
Florida,FMA-PJ-04FL-1997011,Madeira Beach #3,"Madeira Beach, City Of",Madeira Beach,x,"$55,400",75%,1,,,
Florida,FMA-PJ-04FL-1997012,Madeira Beach # 4,"Madeira Beach, City Of",Madeira Beach,x,"$88,686",75%,1,,,
Florida,FMA-PJ-04FL-1997013,City of Madeira Beach # 5,"Madeira Beach, City Of",Madeira Beach,x,"$29,484",75%,1,,,
Florida,FMA-PJ-04FL-1997014,City of Madiera Beach #6,"Madeira Beach, City Of",Madeira Beach,x,"$21,946",75%,1,,,
Florida,FMA-PJ-04FL-1997015,City of Maderia Beach #7,"Madeira Beach, City Of",Madeira Beach,x,"$74,119",75%,1,,,
Florida,FMA-PJ-04FL-1997016,City of Port Richey #3,"Port Richey, City Of",Port Richey,x,"$40,500",75%,1,,,
Florida,FMA-PJ-04FL-1997017,City of Port Richey #4,"Port Richey, City Of",Port Richey,x,"$41,564",75%,1,,,
Florida,FMA-PJ-04FL-1997018,City of Port Richey #5,"Port Richey, City Of",Port Richey,x,"$82,375",75%,1,,,
Florida,FMA-PJ-04FL-1997022,Redington Beach # 1,"Redington Beach, Town Of",Redington Beach,x,"$84,494",75%,1,,,
Florida,FMA-PJ-04FL-1997023,Redington Beach #2,"Redington Beach, Town Of",Redington Beach,x,"$50,288",75%,1,,,
Florida,FMA-PJ-04FL-1998001,"Citrus County, Florida Project #1",Citrus County *,Homosassa,x,"$44,940",67%,1,,,
Florida,FMA-PJ-04FL-1998002,Collier County Government,Collier County *,Naples,x,"$40,500",75%,1,,,
Florida,FMA-PJ-04FL-1998003,Pasco County,Franklin County *,Port Richey,x,"$85,780",75%,1,,,
Florida,FMA-PJ-04FL-1998004,Town of Indian Shores,"Indian Shores, Town Of",Indian Shores,,"$32,021",75%,1,,,
Florida,FMA-PJ-04FL-1998005,City of Madeira Beach #1,"Madeira Beach, City Of",Madeira Beach,x,"$76,635",75%,1,,,
Florida,FMA-PJ-04FL-1998006,City of Madeira Beach #2,"Madeira Beach, City Of",Madeira Beach,x,"$62,418",75%,1,,,
Florida,FMA-PJ-04FL-1998007,City of Madeira Beach # 3,"Madeira Beach, City Of",Madeira Beach,x,"$63,075",75%,1,,,
Florida,FMA-PJ-04FL-1998008,City of St. Petersburg,"St. Petersburg, City Of",St. Petersburg,,"$66,366",75%,1,,,
Florida,FMA-PJ-04FL-1998009,Santa Rosa County #1,Santa Rosa County *,Milton,,"$21,638",75%,1,,,
Florida,FMA-PJ-04FL-1998010,Santa Rosa County #2,Santa Rosa County *,Milton,,"$46,060",75%,1,,,
Florida,FMA-PJ-04FL-1998012,Pinellas County #1,Pinellas County *,Palm Harbor,,"$52,266",75%,1,,,
Florida,FMA-PJ-04FL-1998013,Pinellas County #2,Pinellas County *,Palm Harbor,,"$94,513",75%,1,,,
Florida,FMA-PJ-04FL-1998014,City of New Port Richey # 1,"New Port Richey, City Of",New Port Richey,,"$69,750",75%,1,,,
Florida,FMA-PJ-04FL-1998016,City of New Port Richey #3,"New Port Richey, City Of",New Port Richey,,"$70,728",75%,1,,,
Florida,FMA-PJ-04FL-1998018,Pasco County #2,Pasco County *,New Port Richey,,"$92,324",100%,1,,,
Florida,FMA-PJ-04FL-1998019,Pasco County # 3,Pasco County *,Hudson,x,"$69,941",75%,1,,,
Florida,FMA-PJ-04FL-1998020,City of Port Richey #6,"Port Richey, City Of",Port Richey,x,"$93,000",75%,1,,,
Florida,FMA-PJ-04FL-1998021,Sarasota County #1,Sarasota County *,Nokomis,x,"$98,761",75%,1,,,
Florida,FMA-PJ-04FL-1998023,Town of Redington Beach,"Redington Beach, Town Of",Redington Beach,x,"$87,750",75%,1,,,
Florida,FMA-PJ-04FL-1998025,"Wakulla County, FL #1",Wakulla County *,Crawfordville,,"$88,292",75%,1,,,
Florida,FMA-PJ-04FL-1998026,City of Jacksonville #1,"Jacksonville, City Of",Jacksonville,,"$59,751",75%,1,,,
Florida,FMA-PJ-04FL-1998027,"City of Port Richey, Project #7","Port Richey, City Of",Port Richey,x,"$53,900",75%,1,,,
Florida,FMA-PJ-04FL-1998028,City of Jacksonville #2,"Jacksonville, City Of",Jacksonville,,"$9,375",75%,1,,,
Florida,FMA-PJ-04FL-1998031,City of Clearwater,"Clearwater, City Of",Clearwater,,"$62,546",75%,1,,,
Florida,FMA-PJ-04FL-1998033,City of St. Petersburg #1,"St. Petersburg, City Of",St. Petersburg,,"$57,167",75%,1,,,
Florida,FMA-PJ-04FL-1998034,City of St. Petersburg #2,"St. Petersburg, City Of",St. Petersburg,,"$70,994",75%,1,,,
Florida,FMA-PJ-04FL-1998035,City of St. Petersburg #3,"St. Petersburg, City Of",St. Petersburg,,"$61,813",75%,1,,,
Florida,FMA-PJ-04FL-1998037,Lee County #2,Lee County*,Bonita Springs,,"$51,750",75%,1,,,
Florida,FMA-PJ-04FL-1998038,Lee County #3,Lee County*,East Fort Myers,,"$63,053",75%,1,,,
Florida,FMA-PJ-04FL-1998039,"Baker County, Fla Project #1",Baker County *,Glen St. Mary,x,"$34,175",75%,1,,,
Florida,FMA-PJ-04FL-1998040,"Hillsborough Co. Florida, Project #2",Hillsborough County*,Riverview,,"$112,132",75%,1,,,
Florida,FMA-PJ-04FL-1998043,"Citrus County, Fl Project #2",Citrus County *,Crystal River,,"$120,150",75%,1,,,
Florida,FMA-PJ-04FL-1999003,"Escambia County, Fl Project #1",Escambia County*,Pensacola Beach,x,"$247,434",75%,1,,,
Florida,FMA-PJ-04FL-1999005,City of New Port Richey #1,"New Port Richey, City Of",New Port Richey,,"$76,249",75%,1,,,
Florida,FMA-PJ-04FL-1999006,"Pensacola, Florida Project #1",Escambia County*,Pensacola,,"$69,867",75%,1,,,
Florida,FMA-PJ-04FL-1999010,"City of Davie, Florida Project #1","Davie, City Of",Davie,,"$4,630",75%,1,,,
Florida,FMA-PJ-04FL-1999011,"City of Hudson, Florida Project #2",Pasco County *,Hudson,x,"$60,548",75%,1,,,
Florida,FMA-PJ-04FL-1999012,"City of New Port Richey, Florida Project #3",Pasco County *,New Port Richey,,"$54,511",75%,1,,,
Florida,FMA-PJ-04FL-1999013,"City of Hudson, Florida Project #3",Pasco County *,Hudson,x,"$80,250",75%,1,,,
Florida,FMA-PJ-04FL-1999015,"Redington Beach, Florida Project #1","Redington Beach, Town Of",Redington Beach,x,"$76,743",75%,1,,,
Florida,FMA-PJ-04FL-1999016,"City of Bradenton, Florida Project #1","Bradenton, City Of",Bradenton,,"$73,125",75%,1,,,
Florida,FMA-PJ-04FL-1999019,"City of Madeira Beach, Florida Project #2","Madeira Beach, City Of",Madeira Beach,x,"$65,750",75%,1,,,
Florida,FMA-PJ-04FL-1999021,"Madeira Beach, Florida Project #4","Madeira Beach, City Of",Madeira Beach,x,"$79,232",76%,1,,,
Florida,FMA-PJ-04FL-1999023,"City of Madeira Beach, Florida Project #5","Madeira Beach, City Of",Madeira Beach,x,"$59,517",75%,1,,,
Florida,FMA-PJ-04FL-1999024,"Palm Beach County, Florida Project #1",Palm Beach County *,West Palm Beach,,"$81,116",75%,1,,,
Florida,FMA-PJ-04FL-1999025,"City of Holmes Beach, Florida, Project #1","Holmes Beach, City Of",Holmes Beach,x,"$103,227",75%,1,,,
Florida,FMA-PJ-04FL-1999028,"Escambia County, FL Project #3",Escambia County*,Pensacola,,"$139,326",75%,1,,,
Florida,FMA-PJ-04FL-1999029,"Pasco County, Florida",Pasco County *,New Port Richey,,"$81,263",75%,1,,,
Florida,FMA-PJ-04FL-1999031,"Citrus County, Florida Project #1",Citrus County *,Homosassa,x,"$94,729",75%,1,,,
Florida,FMA-PJ-04FL-1999036,"City of Madeira Beach, Florida Project #6","Madeira Beach, City Of",Madeira Beach,x,"$70,200",75%,1,,,
Florida,FMA-PJ-04FL-1999040,"City of St. Petersburg, FL Project #2","St. Petersburg, City Of",St. Petersburg,,"$76,584",75%,1,,,
Florida,FMA-PJ-04FL-1999041,"Holmes Beach, Project #2","Holmes Beach, City Of",Holmes Beach,x,"$74,926",75%,1,,,
Florida,FMA-PJ-04FL-1999042,"Holmes Beach, Project #3","Holmes Beach, City Of",Holmes Beach,x,"$93,750",75%,1,,,
Florida,FMA-PJ-04FL-2000004,"City of Tampa, Fl, Project #1","Tampa, City Of",Tampa,,"$114,375",75%,1,,,
Florida,FMA-PJ-04FL-2000005,"Town of Yankeetown, Fl","Yankeetown, Town Of",Yankeetown,x,"$280,000",73%,1,,,
Florida,FMA-PJ-04FL-2000007,"Walton County, FL, Project #2",Walton County *,Vernon,,"$30,304",75%,1,,,
Florida,FMA-PJ-04FL-2000008,"Walton County , Fl, Project #3",Walton County *,Vernon,,"$43,444",75%,1,,,
Florida,FMA-PJ-04FL-2000010,"Sarasota County, FL, Project #2",Sarasota County *,Englewood,,"$75,689",75%,1,,,
Florida,FMA-PJ-04FL-2000011,"Sarasota County, Fl Project # 3",Sarasota County *,Sarasota,,"$94,800",75%,1,,,
